term	comparison	estimate	conf.low	conf.high	adj.p.value
semester	Winter2016-Winter2015	5.524918367346993	2.0954676630595053	8.954369071634481	0
semester	Fall2016-Winter2015	4.9321012658228085	1.6968939879824663	8.16730854366315	0
semester	Fall2018-Winter2015	5.1710325203252605	1.8441359010245275	8.4979291396259935	0
semester	Winter2016-Fall2015	5.47913870633001	2.9810900742556097	7.977187338404411	0
semester	Fall2016-Fall2015	4.886321604805826	2.6624329012817585	7.110210308329893	0
semester	Winter2017-Fall2015	2.7201135428665157	0.25541064481770404	5.184816440915327	0.02
semester	Winter2018-Fall2015	2.653041767554461	0.4576328347856671	4.848450700323255	0.01
semester	Fall2018-Fall2015	5.125252859308278	2.769970296517672	7.480535422098884	0
semester	Winter2019-Fall2015	2.649069395586821	0.2030599613024222	5.09507882987122	0.02
semester	Winter2017-Winter2016	-2.7590251634634946	-5.338281067955084	-0.1797692589719051	0.03
semester	Winter2018-Winter2016	-2.8260969387755495	-5.149375016683042	-0.5028188608680573	0.01
semester	Winter2019-Winter2016	-2.8300693107431893	-5.391467912642707	-0.2686707088436724	0.02
semester	Winter2017-Fall2016	-2.16620806193931	-4.4809423919020155	0.1485262680233963	0.09
semester	Winter2018-Fall2016	-2.2332798372513647	-4.258879754495316	-0.20767992000741353	0.02
semester	Winter2019-Fall2016	-2.2372522092190046	-4.532071765364099	0.05756734692609067	0.06
semester	Fall2018-Winter2017	2.405139316441762	-0.03610421979779632	4.8463828526813195	0.06
semester	Fall2018-Winter2018	2.4722110917538167	0.3031721318311904	4.641250051676443	0.01
semester	Winter2019-Fall2018	-2.4761834637214566	-4.898552506660517	-0.05381442078239651	0.04
